year,field,total_checked,had_data,pct_available
2019,boxscore,2471,2471,100.0
2019,draft,1,1,100.0
2019,linescore,2471,2471,100.0
2019,playbyplay,2471,2471,100.0
2019,roster,30,30,100.0
2019,standings_splits,1,1,100.0
2019,transactions,1,1,100.0
2019,winprobability,2471,2471,100.0
